work;author
1846;12064
1846;12065
1858;12066
1865;12067
6315;12068
1870;12068
1870;12069
1928;12070
2137;12070
1871;12070
1873;12071
1873;12072
1874;12073
1885;12074
1887;12075
2174;12076
1919;12076
1931;12077
6704;12078
1931;12078
6587;12078
2048;12079
1935;12079
1954;12080
1964;12081
1969;12082
1973;12083
1979;12084
9173;12084
8419;12084
1980;12085
10845;12085
1980;12086
1980;12087
6578;12088
1980;12088
1991;12089
1993;12090
2004;12091
2014;12092
2016;12093
2148;12094
2029;12094
2033;12095
2033;12096
6239;12096
2081;12097
4790;12097
2082;12098
2082;12099
2083;12100
5854;12100
4398;12100
2083;12101
2083;12102
4596;12102
2093;12103
2195;12104
2095;12104
2111;12105
2944;12106
2114;12106
2117;12107
2145;12108
2149;12109
2155;12110
2155;12111
2158;12112
2160;12113
2220;12113
2166;12114
2175;12115
2184;12116
3840;12116
3964;12116
2187;12117
2187;12118
2187;12119
2201;12120
2217;12121
2217;12122
2226;12123
2228;12124
2228;12125
2228;12126
2229;12127
2230;12128
2237;12129
2230;12129
2231;12130
2231;12131
2231;12132
2232;12133
2232;12134
2232;12135
2232;12136
2232;12137
7950;12137
2233;12138
2233;12139
2233;12140
2234;12141
2234;12142
2235;12143
2236;12144
2236;12145
2236;12146
2237;12147
2237;12148
2238;12149
2238;12150
2238;12151
2239;12152
2239;12153
2241;12154
2242;12155
2242;12156
2242;12157
2243;12158
2243;12159
2243;12160
2243;12161
2244;12162
2244;12163
2244;12164
2244;12165
2245;12166
2245;12167
8986;12168
2245;12168
9182;12168
